
Date,Time,risk_type,Risk_level,Edge_score - métrica OpenCV ,Status,Duration,Person_count,Average_confidence - média da confiança da IA ,Detected_objects,Image_path
2026-05-13,19:56:13,Person Detection,Observation,19.24,safe,0,2,0.88,"person, person",data/results/result_2a8b84f6-eec8-40a1-8dc4-98d2ffcb273a.jpg
2026-05-13,19:57:56,Person Detection,Observation,8.59,safe,0,2,0.38,"person, person",data/results/result_04174f67-b3d2-4a4e-b5b3-65e01736fc02.jpg
2026-05-13,19:58:27,Person Detection,Observation,18.22,safe,0,6,0.44,"person, person, person, person, person, person",data/results/result_dfa23990-1205-4ca6-94d6-ccd3d9d6e56e.jpg
26-05-16,22:00:00,Person Detection,Observation,5.79,safe,0,2,0.65,"person, person",data/results/result_e2bec696-f938-427b-a59e-2c6fdda77155.jpg
